Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,CI WORKS EV 4,11 Chestnut St,,Amesbury,MA,1913,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.857652,-70.92476,11/12/2025,181911,2025-11-12 01:39:04 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CI WORKS EV 2,11 Chestnut st,,Amesbury,MA,1913,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.85758,-70.924652,11/12/2025,181913,2025-11-12 01:39:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CI WORKS EV 1,11 Chestnut st,,Amesbury,MA,1913,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.857541,-70.924575,11/12/2025,181914,2025-11-12 01:39:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,FAIRFIELD  WT FAIRFIELD 1.3,412 Main St,Rear parking lot of Fairfield inn hotel,Williamstown,MA,1267,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.706036,-73.18842,11/12/2025,181915,2025-11-12 01:38:20 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,FAIRFIELD  WT FAIRFIELD 1.4,412 Main St,Back parking lot of Fairfield inn hotel,Williamstown,MA,1267,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.70607,-73.18837,11/12/2025,181916,2025-11-12 01:38:20 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CLARK CLARK ART 1.2,225 South St,Rear parking lot of Clark art institute,Williamstown,MA,1267,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.70964,-73.21356,11/12/2025,181930,2025-11-12 01:37:56 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CLARK CLARK ART 1.1,225 South St,Rear parking lot of Clark art institute,Williamstown,MA,1267,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.70968,-73.213554,11/12/2025,181931,2025-11-12 01:37:55 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,FAIRFIELDINN FAIRFIELD 1.4,115A Conz St,Side parking lot of fairfield inn Marriot,Northampton,MA,1060,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.311966,-72.62536,11/12/2025,181956,2025-11-12 01:38:56 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,FAIRFIELDINN FAIRFIELD 1.3,115A Conz St,Side parking lot of fairfield inn Marriot,Northampton,MA,1060,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.31195,-72.62543,11/12/2025,181957,2025-11-12 01:38:56 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,SALEM MASS SALERNO 2,77 Willson St,Left side of automotive building entrance,Salem,MA,1970,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.507176,-70.913697,11/12/2025,181967,2025-11-12 01:38:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,SALEM MASS SALERNO 3,77 Willson St,Left side of automotive building entrance,Salem,MA,1970,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.507186,-70.913704,11/12/2025,181968,2025-11-12 01:38:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,TOWNOFNANTUCKET FAIRGROUNDS1,4 Fairgrounds Rd,,Nantucket,MA,2554,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.268011,-70.087874,11/12/2025,181999,2025-11-12 01:39:06 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,IP GARAGE IP STATION #1,1 International Pl,P1 near garage entrance,Boston,MA,2110,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.355826,-71.052524,11/12/2025,182071,2025-11-12 01:39:03 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,TN OF WESTBORO WESTBOROUGH 2,121 MA-30,near exit first 4 spots,Westborough,MA,1581,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.263447,-71.624306,11/12/2025,182137,2025-11-12 01:36:31 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MASS AUDUBON PLEASANTVALLEY1,472 W Mountain Rd,,Lenox,MA,1240,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.38211,-73.29989,11/12/2025,182169,2025-11-12 01:39:40 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,EASTHAMPTON LOVEFIELD 2,5 Lovefield St,Off the rotary,Easthampton,MA,1027,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.27656,-72.65642,11/12/2025,182189,2025-11-12 01:39:54 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MALDEN GARDENS STATION 4,520 Main St,,Malden,MA,2148,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.423205,-71.067633,11/12/2025,182239,2025-11-12 01:40:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MALDEN GARDENS STATION 1,520 Main St,,Malden,MA,2148,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.423273,-71.067559,11/12/2025,182240,2025-11-12 01:40:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MALDEN GARDENS STATION 5,520 main st,,Malden,MA,2148,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.428082,-71.067927,11/12/2025,182241,2025-11-12 01:40:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MALDEN GARDENS STATION 3,520 Main St,,Malden,MA,2148,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.423225,-71.067548,11/12/2025,182242,2025-11-12 01:40:02 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MUSEUMOFSCIENCE RIVER SIDE 2,2 Monsignor O'Brien Hwy,Stations are on 4th Floor. Charging station free while charging; $5.00hr fee applied after full charge & 30 minute grace period. Garage parking has hourly fee to be paid upon exit.,Cambridge,MA,2141,,888-758-4389,E,,Public,Mon: 5:00am-11:00pm; Tue: 5:00am-11:00pm; Wed: 5:00am-11:00pm; Thu: 5:00am-11:00pm; Fri: 5:00am-11:00pm; Sat: 5:00am-11:00pm; Sun: 5:00am-11:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.36823,-71.071962,11/13/2025,182497,2025-11-13 01:03:20 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,MUSEUMOFSCIENCE STREET SIDE 1,2 Monsignor O'Brien Hwy,Stations are on 4th Floor. Charging station free while charging; $5.00hr fee applied after full charge & 30 minute grace period. Garage parking has hourly fee to be paid upon exit.,Cambridge,MA,2141,,888-758-4389,E,,Public,Mon: 5:00am-11:00pm; Tue: 5:00am-11:00pm; Wed: 5:00am-11:00pm; Thu: 5:00am-11:00pm; Fri: 5:00am-11:00pm; Sat: 5:00am-11:00pm; Sun: 5:00am-11:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.368314,-71.071907,11/13/2025,182504,2025-11-13 01:03:24 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,RELATED BEAL RELATED BEAL 2,105 Beverly Street,,Boston,MA,2114,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.364991,-71.059362,11/13/2025,182541,2025-11-13 01:04:33 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,SOUTH BAYGARAGE CHARGEPOINT 2,95 Allstate Rd,,Boston,MA,2125,,888-758-4389,E,,Public,Mon: 6:00am-12:00am; Tue: 6:00am-12:00am; Wed: 6:00am-12:00am; Thu: 6:00am-12:00am; Fri: 6:00am-12:00am; Sat: 6:00am-12:00am; Sun: 6:00am-12:00am,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.325315,-71.062375,11/13/2025,182621,2025-11-13 01:05:32 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CITYOFCAMBRIDGE DPW 3,147 Hampshire St,Administration Building,Cambridge,MA,2139,,888-758-4389,E,,Public,"Mon: 12:00am-6:00am, 8:00pm-12:00am; Tue: 12:00am-6:00am, 5:00pm-12:00am; Wed: 12:00am-6:00am, 5:00pm-12:00am; Thu: 12:00am-6:00am, 5:00pm-12:00am; Fri: 12:00am-6:00am, 5:00pm-12:00am; Sat: 12:00am-12:00am; Sun: 12:00am-12:00am",,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.37148,-71.09785,11/13/2025,182632,2025-11-13 01:05:59 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,SOUTH BAYGARAGE CHARGEPOINT 1,101 Allstate Rd,,Boston,MA,2125,,888-758-4389,E,,Public,Mon: 6:00am-12:00am; Tue: 6:00am-12:00am; Wed: 6:00am-12:00am; Thu: 6:00am-12:00am; Fri: 6:00am-12:00am; Sat: 6:00am-12:00am; Sun: 6:00am-12:00am,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.325398,-71.063662,11/13/2025,182636,2025-11-13 01:06:07 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,RELATED BEAL RELATED BEAL 4,105 Beverly Street,,Boston,MA,2114,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.365003,-71.059373,11/13/2025,182643,2025-11-13 01:06:15 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,RELATED BEAL RELATED BEAL 5,105 Beverly Street,,Boston,MA,2114,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.365011,-71.059378,11/13/2025,182670,2025-11-13 01:07:13 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,RELATED BEAL RELATED BEAL 1,105 Beverly Street,,Boston,MA,2114,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.36497,-71.059349,11/13/2025,182678,2025-11-13 01:07:37 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CITYOFCAMBRIDGE DPW 1,147 Hampshire St,In lot of DPW building,Cambridge,MA,2139,,888-758-4389,E,,Public,"Mon: 12:00am-6:00am, 8:00pm-12:00am; Tue: 12:00am-6:00am, 5:00pm-12:00am; Wed: 12:00am-6:00am, 5:00pm-12:00am; Thu: 12:00am-6:00am, 5:00pm-12:00am; Fri: 12:00am-6:00am, 5:00pm-12:00am; Sat: 12:00am-12:00am; Sun: 12:00am-12:00am",,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.371404,-71.097687,11/13/2025,182721,2025-11-13 01:09:42 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,ARLINGTON MA GIBBS SCHOOL,41 Foster St,,Arlington,MA,2474,,888-758-4389,E,,Public,"Mon: 12:00am-7:00am, 4:00pm-12:00am; Tue: 12:00am-7:00am, 4:00pm-12:00am; Wed: 12:00am-7:00am, 4:00pm-12:00am; Thu: 12:00am-7:00am, 4:00pm-12:00am; Fri: 12:00am-7:00am, 4:00pm-12:00am; Sat: 12:00am-12:00am; Sun: 12:00am-12:00am",,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.410439,-71.145819,11/13/2025,182773,2025-11-13 01:12:34 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,NAED NAED 1,275 Landry Ave,"Public lot entrance, Station is to the right , use spaces 3 and 4",North Attleborough,MA,2760,,888-758-4389,E,,Public,Mon: 7:00am-5:00pm; Tue: 7:00am-5:00pm; Wed: 7:00am-5:00pm; Thu: 7:00am-5:00pm; Fri: 7:00am-5:00pm; Sat: 7:00am-5:00pm; Sun: 7:00am-5:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.989527,-71.299598,11/13/2025,182810,2025-11-13 01:13:19 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,AMPCAP 1506 HYANNIS,65 Independence Dr,EV Charging: $1.25 hourly usage fee,Barnstable,MA,2601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.674153,-70.302016,11/13/2025,182819,2025-11-13 01:13:36 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,TOWN OF MILTON STATION 1,525 Canton Ave,Behind the building,Milton,MA,2186,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.254287,-71.079727,11/13/2025,182960,2025-11-13 01:15:07 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,TEWKSBURY LIBRARY 1,300 Chandler St,Left of main ertrance,Tewksbury,MA,1876,,888-758-4389,E,,Public,Mon: 6:00am-9:00pm; Tue: 6:00am-9:00pm; Wed: 6:00am-9:00pm; Thu: 6:00am-9:00pm; Fri: 6:00am-9:00pm; Sat: 6:00am-9:00pm; Sun: 6:00am-9:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.60673,-71.22544,11/12/2025,183072,2025-11-12 01:20:25 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,TEWKSBURY LIBRARY 2,300 Chandler St,Left of main ertrance,Tewksbury,MA,1876,,888-758-4389,E,,Public,Mon: 6:00am-9:00pm; Tue: 6:00am-9:00pm; Wed: 6:00am-9:00pm; Thu: 6:00am-9:00pm; Fri: 6:00am-9:00pm; Sat: 6:00am-9:00pm; Sun: 6:00am-9:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.606712,-71.225235,11/12/2025,183074,2025-11-12 01:20:25 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,TEWKSBURY TOWN HALL,11 town hall ave,Near side door,Tewksbury,MA,1876,,888-758-4389,E,,Public,Mon: 6:00am-9:00pm; Tue: 6:00am-9:00pm; Wed: 6:00am-9:00pm; Thu: 6:00am-9:00pm; Fri: 6:00am-9:00pm; Sat: 6:00am-9:00pm; Sun: 6:00am-9:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.611477,-71.23494,11/12/2025,183075,2025-11-12 01:20:26 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,NEEDHAM SUNITA-EV#2,585 Central Ave,Main entrance south side,Needham,MA,2494,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.299393,-71.24704,11/12/2025,183089,2025-11-12 01:20:50 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,NEEDHAM SUNITA-EV#1,585 Central Ave,Near main entrance,Needham,MA,2494,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.29937,-71.247284,11/12/2025,183102,2025-11-12 01:21:23 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,131 DARTMOUTH CS #1,131 Dartmouth St,Ground Level,Boston,MA,2116,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.34704,-71.075474,11/12/2025,183272,2025-11-12 01:27:04 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CITYOFCAMBRIDGE DPW 2,147 Hampshire St,DPW lot,Cambridge,MA,2139,,888-758-4389,E,,Public,"Mon: 12:00am-6:00am, 8:00pm-12:00am; Tue: 12:00am-6:00am, 5:00pm-12:00am; Wed: 12:00am-6:00am, 5:00pm-12:00am; Thu: 12:00am-6:00am, 5:00pm-12:00am; Fri: 12:00am-6:00am, 5:00pm-12:00am; Sat: 12:00am-12:00am; Sun: 12:00am-12:00am",,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.37147,-71.09751,11/12/2025,183376,2025-11-12 01:33:34 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CITYOFCAMBRIDGE DPW 5,147 Hampshire St,Administration Building,Cambridge,MA,2139,,888-758-4389,E,,Public,"Mon: 12:00am-6:00am, 8:00pm-12:00am; Tue: 12:00am-6:00am, 5:00pm-12:00am; Wed: 12:00am-6:00am, 5:00pm-12:00am; Thu: 12:00am-6:00am, 5:00pm-12:00am; Fri: 12:00am-6:00am, 5:00pm-12:00am; Sat: 12:00am-12:00am; Sun: 12:00am-12:00am",,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.37142,-71.09766,11/12/2025,183377,2025-11-12 01:33:34 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,CITYOFCAMBRIDGE DPW 4,147 Hampshire St,Administration Building,Cambridge,MA,2139,,888-758-4389,E,,Public,"Mon: 12:00am-6:00am, 8:00pm-12:00am; Tue: 12:00am-6:00am, 5:00pm-12:00am; Wed: 12:00am-6:00am, 5:00pm-12:00am; Thu: 12:00am-6:00am, 5:00pm-12:00am; Fri: 12:00am-6:00am, 5:00pm-12:00am; Sat: 12:00am-12:00am; Sun: 12:00am-12:00am",,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.371395,-71.09771,11/12/2025,183378,2025-11-12 01:33:34 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,491 DUTTON DUTTON 2,491 Dutton St,In parking lot rear of building,Lowell,MA,1854,,888-758-4389,E,,Public,Mon: 8:00am-6:00pm; Tue: 8:00am-6:00pm; Wed: 8:00am-6:00pm; Thu: 8:00am-6:00pm; Fri: 8:00am-6:00pm; Sat: 8:00am-6:00pm; Sun: 8:00am-6:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.64214,-71.31711,11/12/2025,183395,2025-11-12 01:34:28 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,491 DUTTON DUTTON 1,491 Dutton St,Parking lot rear of building,Lowell,MA,1854,,888-758-4389,E,,Public,Mon: 8:00am-6:00pm; Tue: 8:00am-6:00pm; Wed: 8:00am-6:00pm; Thu: 8:00am-6:00pm; Fri: 8:00am-6:00pm; Sat: 8:00am-6:00pm; Sun: 8:00am-6:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.64218,-71.317055,11/12/2025,183415,2025-11-12 01:35:41 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,491 DUTTON DUTTON 3,491 Dutton St,In parking lot rear of building,Lowell,MA,1854,,888-758-4389,E,,Public,Mon: 8:00am-6:00pm; Tue: 8:00am-6:00pm; Wed: 8:00am-6:00pm; Thu: 8:00am-6:00pm; Fri: 8:00am-6:00pm; Sat: 8:00am-6:00pm; Sun: 8:00am-6:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.642094,-71.31714,11/12/2025,183416,2025-11-12 01:35:41 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,491 DUTTON DUTTON 4,491 Dutton St,In parking lot rear of building,Lowell,MA,1854,,888-758-4389,E,,Public,Mon: 8:00am-6:00pm; Tue: 8:00am-6:00pm; Wed: 8:00am-6:00pm; Thu: 8:00am-6:00pm; Fri: 8:00am-6:00pm; Sat: 8:00am-6:00pm; Sun: 8:00am-6:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.642048,-71.317184,11/12/2025,183417,2025-11-12 01:35:42 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,STATIONERY FACT EV 1,63 Flansburg Ave,The Stationery Factory Parking Lot,Dalton,MA,1226,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.474157,-73.173382,11/12/2025,183419,2025-11-12 01:35:57 UTC,,,,1/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,HOOD PARK P1 SPACE 101,100 Hood Park Dr,P1 parking level,Boston,MA,2129,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.380249,-71.072604,11/12/2025,183516,2025-11-12 01:31:48 UTC,,,,1/29/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,HOOD PARK P1 SPACE 103,100 Hood Park Dr,P1 parking level,Boston,MA,2129,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.380249,-71.072668,11/12/2025,183517,2025-11-12 01:31:49 UTC,,,,1/29/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,HOOD PARK P1 SPACE 105,100 Hood Park Dr,Parking level P1,Boston,MA,2129,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.380181,-71.072751,11/12/2025,183519,2025-11-12 01:31:49 UTC,,,,1/29/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,HOOD PARK P2 SPACE 204,100 Hood Park Dr,Parking level P2,Boston,MA,2129,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.38014,-71.072813,11/12/2025,183520,2025-11-12 01:31:50 UTC,,,,1/29/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
